"","plot_names","question_type","sentiment_score","subject"
"1","linear_rise","sentence",-0.533062011003494,1
"2","linear_rise","sentence",0.673470616340637,2
"3","linear_rise","sentence",0.598659515380859,3
"4","linear_rise","sentence",0.82428503036499,4
"5","linear_rise","sentence",0.694921970367432,5
"6","linear_rise","sentence",0.786765336990356,6
"7","linear_rise","sentence",0.214051365852356,7
"8","linear_rise","sentence",0.638006448745728,8
"9","linear_rise","sentence",0.308441877365112,9
"10","linear_rise","sentence",0.693589568138123,10
"11","linear_rise","sentence",0.711719751358032,11
"12","linear_rise","sentence",0.420404553413391,12
"13","linear_rise","sentence",0.664668917655945,13
"14","linear_rise","sentence",0.702912449836731,14
"15","linear_rise","sentence",0.779732704162598,15
"16","linear_rise","sentence",0.736987471580505,16
"17","linear_rise","sentence",-0.543075084686279,17
"18","linear_rise","sentence",0.624781012535095,18
"19","linear_rise","sentence",0.21159565448761,19
"20","linear_rise","sentence",-0.694481074810028,20
"21","linear_rise","sentence",0.685075402259827,21
"22","linear_rise","sentence",-0.661241412162781,22
"23","linear_rise","sentence",0.414457321166992,23
"24","linear_rise","sentence",0.780023694038391,24
"25","linear_rise","sentence",0.437327146530151,25
"26","linear_rise","sentence",0.278356432914734,26
"27","linear_rise","sentence",-0.283766150474548,27
"28","linear_rise","sentence",-0.703325688838959,28
"29","linear_rise","sentence",0.55748462677002,29
"30","linear_rise","sentence",0.555274844169617,30
"31","linear_rise","sentence",0.725898027420044,31
"32","linear_rise","sentence",0.593329310417175,32
"33","linear_rise","sentence",0.528409719467163,33
"34","linear_rise","sentence",-0.525605648756027,34
"35","linear_rise","sentence",-0.0946466326713562,35
"36","linear_rise","sentence",0.717480182647705,36
"37","linear_rise","sentence",0.746456742286682,37
"38","linear_rise","sentence",0.526071548461914,38
"39","linear_rise","sentence",0.608192801475525,39
"40","linear_rise","sentence",0.41049063205719,40
"41","linear_rise","sentence",0.648319244384766,41
"42","linear_rise","sentence",0.607637643814087,42
"43","linear_rise","sentence",0.754448175430298,43
"44","linear_rise","sentence",-0.173329949378967,44
"45","linear_rise","sentence",-0.604878008365631,45
"46","linear_rise","sentence",0.308520674705505,46
"47","linear_rise","sentence",-0.711734861135483,47
"48","linear_rise","sentence",0.13182258605957,48
"49","linear_rise","sentence",0.710939288139343,49
"50","linear_rise","sentence",-0.392871260643005,50
"51","linear_rise","sentence",0.671907663345337,51
"52","linear_rise","sentence",0.533753275871277,52
"53","linear_rise","sentence",0.192389726638794,53
"54","linear_rise","sentence",0.748640537261963,54
"55","linear_rise","sentence",0.663189649581909,55
"56","linear_rise","sentence",0.781968951225281,56
"57","linear_rise","sentence",0.603425264358521,57
"58","linear_rise","sentence",0.736664533615112,58
"59","linear_rise","sentence",0.685306668281555,59
"60","linear_rise","sentence",-0.597230017185211,60
"61","linear_rise","sentence",0.606043100357056,61
"62","linear_rise","sentence",0.378007173538208,62
"63","linear_rise","sentence",0.706414580345154,63
"64","linear_rise","sentence",0.680954933166504,64
"65","linear_rise","sentence",0.361136674880981,65
"66","linear_rise","sentence",0.511799216270447,66
"67","linear_rise","sentence",0.698243021965027,67
"68","linear_rise","sentence",0.700706601142883,68
"69","linear_rise","sentence",-0.553543448448181,69
"70","linear_rise","sentence",-0.602208852767944,70
"71","linear_rise","sentence",-0.417914211750031,71
"72","linear_rise","sentence",-0.746370792388916,72
"73","linear_rise","sentence",-0.657081097364426,73
"74","linear_rise","sentence",0.613882064819336,74
"75","linear_rise","sentence",0.250635862350464,75
"76","linear_rise","sentence",-0.289347589015961,76
"77","linear_rise","sentence",-0.450059592723846,77
"78","linear_rise","sentence",0.576021552085876,78
"79","linear_rise","sentence",-0.0286850333213806,79
"80","linear_rise","sentence",0.257722854614258,80
"81","linear_rise","sentence",0.0965051651000977,81
"82","linear_rise","sentence",-0.200143396854401,82
"83","linear_rise","sentence",0.437471389770508,83
"84","linear_rise","sentence",-0.756722643971443,84
"85","linear_rise","sentence",0.639131307601929,85
"86","linear_rise","sentence",0.686843156814575,86
"87","linear_rise","sentence",0.461387157440186,87
"88","linear_rise","sentence",0.630024433135986,88
"89","linear_rise","sentence",-0.447766840457916,89
"90","linear_rise","sentence",0.665214657783508,90
"91","linear_rise","sentence",0.708315491676331,91
"92","linear_rise","sentence",0.681185841560364,92
"93","linear_rise","sentence",0.67628538608551,93
"94","linear_rise","sentence",0.725212335586548,94
"95","linear_rise","sentence",0.809402704238892,95
"96","linear_rise","sentence",0.622096061706543,96
"97","linear_rise","sentence",0.653286337852478,97
"98","linear_rise","sentence",-0.603634178638458,98
"99","linear_rise","sentence",0.66006863117218,99
