"","plot_names","question_type","mean","sd","plot_names.1","question_type.1","sentiment_score","subject"
"1","linear_rise","sentence",0.331391079231687,0.502230032329517,"linear_rise","sentence",-0.533062011003494,1
"2","linear_fall","sentence",-0.428191805514721,0.401118003818491,"linear_rise","sentence",0.673470616340637,2
"3","linear_low","sentence",-0.587170343743552,0.30327305703483,"linear_rise","sentence",0.598659515380859,3
"4","linear_middle","sentence",0.0990127240299085,0.560543242407224,"linear_rise","sentence",0.82428503036499,4
"5","linear_high","sentence",0.58895254155638,0.379197317671624,"linear_rise","sentence",0.694921970367432,5
"6","exp_rise_convex","sentence",0.223596689761232,0.498371097830314,"linear_rise","sentence",0.786765336990356,6
"7","exp_fall_convex","sentence",-0.349375127447308,0.430381138548467,"linear_rise","sentence",0.214051365852356,7
"8","exp_rise_concave","sentence",0.264105236448279,0.502758690705342,"linear_rise","sentence",0.638006448745728,8
"9","exp_fall_concave","sentence",-0.330817140365412,0.425923000200464,"linear_rise","sentence",0.308441877365112,9
"10","sin_fr_full","sentence",-0.115939025621895,0.471039741092486,"linear_rise","sentence",0.693589568138123,10
"11","sin_fr_partial","sentence",-0.0068834529967483,0.480290444630396,"linear_rise","sentence",0.711719751358032,11
"12","sin_rf_full","sentence",-0.284312120544801,0.491618594682243,"linear_rise","sentence",0.420404553413391,12
"13","sin_rf_partial","sentence",-0.279082755635091,0.452768642285177,"linear_rise","sentence",0.664668917655945,13
"14","sin_rfr_full","sentence",0.0031634276613183,0.490160607397559,"linear_rise","sentence",0.702912449836731,14
"15","sin_rfr_partial","sentence",0.0366973088832077,0.492315136404759,"linear_rise","sentence",0.779732704162598,15
"16","sin_frf_full","sentence",-0.179755800497641,0.508102071806706,"linear_rise","sentence",0.736987471580505,16
"17","sin_frf_partial","sentence",-0.274120974089574,0.461980228791799,"linear_rise","sentence",-0.543075084686279,17
"18","sin_frfr","sentence",0.0729101715148042,0.511638603733308,"linear_rise","sentence",0.624781012535095,18
"19","sin_rfrf","sentence",-0.224662212261913,0.510882787794272,"linear_rise","sentence",0.21159565448761,19
"20","logistic_rise","sentence",-0.0184036543883315,0.528494014993636,"linear_rise","sentence",-0.694481074810028,20
"21","logistic_fall","sentence",-0.374489830721409,0.398803835967817,"linear_rise","sentence",0.685075402259827,21
"22","positive_change_full","sentence",-0.112741923523605,0.485341485024898,"linear_rise","sentence",-0.661241412162781,22
"23","positive_change_partial","sentence",-0.204233679202718,0.450277665505173,"linear_rise","sentence",0.414457321166992,23
"24","negative_change_full","sentence",-0.266437497024142,0.487239232778593,"linear_rise","sentence",0.780023694038391,24
"25","negative_change_partial","sentence",-0.0462736231744836,0.501732909423324,"linear_rise","sentence",0.437327146530151,25
"26","linear_rise_sharp_fall","sentence",-0.445856848714549,0.396297730754686,"linear_rise","sentence",0.278356432914734,26
"27","linear_rise_sharp_fall_exp_rise","sentence",-0.0504073633923443,0.518863675195158,"linear_rise","sentence",-0.283766150474548,27
"28","linear_rise","word",0.28536364928298,0.469819768572671,"linear_rise","sentence",-0.703325688838959,28
"29","linear_fall","word",-0.640355368341328,0.337475679048806,"linear_rise","sentence",0.55748462677002,29
"30","linear_low","word",-0.623718081127613,0.347507769446827,"linear_rise","sentence",0.555274844169617,30
"31","linear_middle","word",-0.139504583467037,0.502979202761916,"linear_rise","sentence",0.725898027420044,31
"32","linear_high","word",0.493013742456742,0.437973548408927,"linear_rise","sentence",0.593329310417175,32
"33","exp_rise_convex","word",0.203012814420626,0.52000459927804,"linear_rise","sentence",0.528409719467163,33
"34","exp_fall_convex","word",-0.624151676414757,0.328646074391225,"linear_rise","sentence",-0.525605648756027,34
"35","exp_rise_concave","word",0.288466101666109,0.499577465660121,"linear_rise","sentence",-0.0946466326713562,35
"36","exp_fall_concave","word",-0.626725853514781,0.342607975151821,"linear_rise","sentence",0.717480182647705,36
"37","sin_fr_full","word",-0.201147683443279,0.533680802135815,"linear_rise","sentence",0.746456742286682,37
"38","sin_fr_partial","word",0.0891786952494481,0.538544725153828,"linear_rise","sentence",0.526071548461914,38
"39","sin_rf_full","word",-0.433179388489198,0.443559526147244,"linear_rise","sentence",0.608192801475525,39
"40","sin_rf_partial","word",-0.583921372001871,0.345976243416959,"linear_rise","sentence",0.41049063205719,40
"41","sin_rfr_full","word",-0.360238527554438,0.462260464656667,"linear_rise","sentence",0.648319244384766,41
"42","sin_rfr_partial","word",-0.278941003212688,0.530633068071217,"linear_rise","sentence",0.607637643814087,42
"43","sin_frf_full","word",-0.522522181477569,0.381217321610297,"linear_rise","sentence",0.754448175430298,43
"44","sin_frf_partial","word",-0.463429058842156,0.410455916931171,"linear_rise","sentence",-0.173329949378967,44
"45","sin_frfr","word",-0.395940932795542,0.468940590295753,"linear_rise","sentence",-0.604878008365631,45
"46","sin_rfrf","word",-0.527829751235629,0.353296459271676,"linear_rise","sentence",0.308520674705505,46
"47","logistic_rise","word",0.0979851871865605,0.560454148621913,"linear_rise","sentence",-0.711734861135483,47
"48","logistic_fall","word",-0.627107820037855,0.296140265246359,"linear_rise","sentence",0.13182258605957,48
"49","positive_change_full","word",-0.236621252919009,0.511979607124353,"linear_rise","sentence",0.710939288139343,49
"50","positive_change_partial","word",-0.306627731531038,0.503519106896508,"linear_rise","sentence",-0.392871260643005,50
"51","negative_change_full","word",-0.467557365057665,0.443556770786925,"linear_rise","sentence",0.671907663345337,51
"52","negative_change_partial","word",-0.188471886064481,0.544726699676091,"linear_rise","sentence",0.533753275871277,52
"53","linear_rise_sharp_fall","word",-0.615579042549527,0.328228974685906,"linear_rise","sentence",0.192389726638794,53
"54","linear_rise_sharp_fall_exp_rise","word",-0.243883597194602,0.549142527164588,"linear_rise","sentence",0.748640537261963,54
"55","linear_rise","sentence",0.331391079231687,0.502230032329517,"linear_rise","sentence",0.663189649581909,55
"56","linear_fall","sentence",-0.428191805514721,0.401118003818491,"linear_rise","sentence",0.781968951225281,56
"57","linear_low","sentence",-0.587170343743552,0.30327305703483,"linear_rise","sentence",0.603425264358521,57
"58","linear_middle","sentence",0.0990127240299085,0.560543242407224,"linear_rise","sentence",0.736664533615112,58
"59","linear_high","sentence",0.58895254155638,0.379197317671624,"linear_rise","sentence",0.685306668281555,59
"60","exp_rise_convex","sentence",0.223596689761232,0.498371097830314,"linear_rise","sentence",-0.597230017185211,60
"61","exp_fall_convex","sentence",-0.349375127447308,0.430381138548467,"linear_rise","sentence",0.606043100357056,61
"62","exp_rise_concave","sentence",0.264105236448279,0.502758690705342,"linear_rise","sentence",0.378007173538208,62
"63","exp_fall_concave","sentence",-0.330817140365412,0.425923000200464,"linear_rise","sentence",0.706414580345154,63
"64","sin_fr_full","sentence",-0.115939025621895,0.471039741092486,"linear_rise","sentence",0.680954933166504,64
"65","sin_fr_partial","sentence",-0.0068834529967483,0.480290444630396,"linear_rise","sentence",0.361136674880981,65
"66","sin_rf_full","sentence",-0.284312120544801,0.491618594682243,"linear_rise","sentence",0.511799216270447,66
"67","sin_rf_partial","sentence",-0.279082755635091,0.452768642285177,"linear_rise","sentence",0.698243021965027,67
"68","sin_rfr_full","sentence",0.0031634276613183,0.490160607397559,"linear_rise","sentence",0.700706601142883,68
"69","sin_rfr_partial","sentence",0.0366973088832077,0.492315136404759,"linear_rise","sentence",-0.553543448448181,69
"70","sin_frf_full","sentence",-0.179755800497641,0.508102071806706,"linear_rise","sentence",-0.602208852767944,70
"71","sin_frf_partial","sentence",-0.274120974089574,0.461980228791799,"linear_rise","sentence",-0.417914211750031,71
"72","sin_frfr","sentence",0.0729101715148042,0.511638603733308,"linear_rise","sentence",-0.746370792388916,72
"73","sin_rfrf","sentence",-0.224662212261913,0.510882787794272,"linear_rise","sentence",-0.657081097364426,73
"74","logistic_rise","sentence",-0.0184036543883315,0.528494014993636,"linear_rise","sentence",0.613882064819336,74
"75","logistic_fall","sentence",-0.374489830721409,0.398803835967817,"linear_rise","sentence",0.250635862350464,75
"76","positive_change_full","sentence",-0.112741923523605,0.485341485024898,"linear_rise","sentence",-0.289347589015961,76
"77","positive_change_partial","sentence",-0.204233679202718,0.450277665505173,"linear_rise","sentence",-0.450059592723846,77
"78","negative_change_full","sentence",-0.266437497024142,0.487239232778593,"linear_rise","sentence",0.576021552085876,78
"79","negative_change_partial","sentence",-0.0462736231744836,0.501732909423324,"linear_rise","sentence",-0.0286850333213806,79
"80","linear_rise_sharp_fall","sentence",-0.445856848714549,0.396297730754686,"linear_rise","sentence",0.257722854614258,80
"81","linear_rise_sharp_fall_exp_rise","sentence",-0.0504073633923443,0.518863675195158,"linear_rise","sentence",0.0965051651000977,81
"82","linear_rise","word",0.28536364928298,0.469819768572671,"linear_rise","sentence",-0.200143396854401,82
"83","linear_fall","word",-0.640355368341328,0.337475679048806,"linear_rise","sentence",0.437471389770508,83
"84","linear_low","word",-0.623718081127613,0.347507769446827,"linear_rise","sentence",-0.756722643971443,84
"85","linear_middle","word",-0.139504583467037,0.502979202761916,"linear_rise","sentence",0.639131307601929,85
"86","linear_high","word",0.493013742456742,0.437973548408927,"linear_rise","sentence",0.686843156814575,86
"87","exp_rise_convex","word",0.203012814420626,0.52000459927804,"linear_rise","sentence",0.461387157440186,87
"88","exp_fall_convex","word",-0.624151676414757,0.328646074391225,"linear_rise","sentence",0.630024433135986,88
"89","exp_rise_concave","word",0.288466101666109,0.499577465660121,"linear_rise","sentence",-0.447766840457916,89
"90","exp_fall_concave","word",-0.626725853514781,0.342607975151821,"linear_rise","sentence",0.665214657783508,90
"91","sin_fr_full","word",-0.201147683443279,0.533680802135815,"linear_rise","sentence",0.708315491676331,91
"92","sin_fr_partial","word",0.0891786952494481,0.538544725153828,"linear_rise","sentence",0.681185841560364,92
"93","sin_rf_full","word",-0.433179388489198,0.443559526147244,"linear_rise","sentence",0.67628538608551,93
"94","sin_rf_partial","word",-0.583921372001871,0.345976243416959,"linear_rise","sentence",0.725212335586548,94
"95","sin_rfr_full","word",-0.360238527554438,0.462260464656667,"linear_rise","sentence",0.809402704238892,95
"96","sin_rfr_partial","word",-0.278941003212688,0.530633068071217,"linear_rise","sentence",0.622096061706543,96
"97","sin_frf_full","word",-0.522522181477569,0.381217321610297,"linear_rise","sentence",0.653286337852478,97
"98","sin_frf_partial","word",-0.463429058842156,0.410455916931171,"linear_rise","sentence",-0.603634178638458,98
"99","sin_frfr","word",-0.395940932795542,0.468940590295753,"linear_rise","sentence",0.66006863117218,99
"100","sin_rfrf","word",-0.527829751235629,0.353296459271676,"linear_rise","sentence",0.461228847503662,100
"101","logistic_rise","word",0.0979851871865605,0.560454148621913,"linear_rise","sentence",0.796065807342529,101
"102","logistic_fall","word",-0.627107820037855,0.296140265246359,"linear_rise","sentence",0.474918961524963,102
"103","positive_change_full","word",-0.236621252919009,0.511979607124353,"linear_rise","sentence",0.374806761741638,103
"104","positive_change_partial","word",-0.306627731531038,0.503519106896508,"linear_rise","sentence",0.674782037734985,104
"105","negative_change_full","word",-0.467557365057665,0.443556770786925,"linear_rise","sentence",0.699123740196228,105
"106","negative_change_partial","word",-0.188471886064481,0.544726699676091,"linear_rise","sentence",0.684972405433655,106
"107","linear_rise_sharp_fall","word",-0.615579042549527,0.328228974685906,"linear_rise","sentence",0.745321154594421,107
"108","linear_rise_sharp_fall_exp_rise","word",-0.243883597194602,0.549142527164588,"linear_rise","sentence",0.143474936485291,108
"109","linear_rise","sentence",0.331391079231687,0.502230032329517,"linear_rise","sentence",-0.278699219226837,109
"110","linear_fall","sentence",-0.428191805514721,0.401118003818491,"linear_rise","sentence",0.598935961723328,110
"111","linear_low","sentence",-0.587170343743552,0.30327305703483,"linear_rise","sentence",0.621689677238464,111
"112","linear_middle","sentence",0.0990127240299085,0.560543242407224,"linear_rise","sentence",0.652494430541992,112
"113","linear_high","sentence",0.58895254155638,0.379197317671624,"linear_rise","sentence",0.697957396507263,113
"114","exp_rise_convex","sentence",0.223596689761232,0.498371097830314,"linear_rise","sentence",-0.69663879275322,114
"115","exp_fall_convex","sentence",-0.349375127447308,0.430381138548467,"linear_rise","sentence",-0.740613222122192,115
"116","exp_rise_concave","sentence",0.264105236448279,0.502758690705342,"linear_rise","sentence",-0.737596929073334,116
"117","exp_fall_concave","sentence",-0.330817140365412,0.425923000200464,"linear_rise","sentence",0.731160759925842,117
"118","sin_fr_full","sentence",-0.115939025621895,0.471039741092486,"linear_rise","sentence",-0.512251108884811,118
"119","sin_fr_partial","sentence",-0.0068834529967483,0.480290444630396,"linear_rise","sentence",0.657781600952148,119
"120","sin_rf_full","sentence",-0.284312120544801,0.491618594682243,"linear_rise","sentence",0.643552184104919,120
"121","sin_rf_partial","sentence",-0.279082755635091,0.452768642285177,"linear_rise","sentence",0.509066820144653,121
"122","sin_rfr_full","sentence",0.0031634276613183,0.490160607397559,"linear_rise","sentence",0.723214626312256,122
"123","sin_rfr_partial","sentence",0.0366973088832077,0.492315136404759,"linear_rise","sentence",-0.431077897548676,123
